,gvkey,fyear,tic,acctstd,ajex,ajp,curncd,currtr,src,acominc,act,am,ao,aoloch,aqc,at,bkvlps,caps,capx,capxv,ceq,ceqt,ch,chech,ci,cibegni,cogs,cshfd,cshi,csho,cshpri,cstk,cstkcv,cstke,dc,dclo,dcom,dcpstk,dcvsr,dcvsub,dcvt,dd,dd1,dd2,diladj,dilavx,dlc,dltis,dlto,dltr,dltt,dm,dn,do,donr,dp,dpact,drc,drlt,ds,dudd,dvc,dvt,ebit,ebitda,emp,epsfx,epspi,esopct,esub,esubc,exre,fatc,fatn,fiao,fincf,fopo,fopox,gdwl,gp,icapt,intan,intano,intpn,invch,invt,ivncf,lct,lifr,lse,lt,mibt,mii,mrc1,mrcta,msa,ni,niadj,nopi,nopio,np,oancf,oiadp,oibdp,opeps,oprepsx,pi,pnca,pnrsho,ppegt,ppent,prca,prsho,prstkc,pstk,pstkrv,re,rea,reajo,rect,recta,revt,seq,seqo,siv,spce,spi,sppiv,sstk,teq,tstk,txbco,txbcof,txdb,txdba,txdbca,txdbcl,txdc,txdi,txditc,txfo,txndb,txndba,txndbl,txo,txp,txpd,txr,txt,txw,wcap,xacc,xint,xopr,xsga,cshtr_f,dvpsp_f,dvpsx_f,prcc_f,prch_f,prcl_f,adjex_f,auop,ceoso,cfoso
1,1239,2010,ACV,DS,1.0,1.0,USD,1.0,5,-70.297,804.1039999999999,,84.70100000000001,1.9,392.25199999999995,1878.275,13.4056,491.019,25.833000000000002,25.833000000000002,1324.612,635.8969999999999,301.978,-167.797,143.452,155.31,734.5010000000001,99.852,98.81,98.81,97.985,0.988,0.01,0.0,1.4,0.42200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.18100000000000002,,0.0,155.136,0.18100000000000002,142.624,0.0,0.17,150.241,0.42200000000000004,150.0,0.174,0.0,26.658,222.368,0.0,0.0,0.0,0.0,32.495,32.495,235.342,262.0,2.6,1.55,1.59,0.0,0.0,0.0,-1.298,0.0,0.0,-4.902,105.208,14.472000000000001,14.472000000000001,521.2040000000001,863.9630000000001,1477.481,688.715,167.511,0.573,-36.842,171.30599999999998,-409.17800000000005,283.42400000000004,0.0,1878.275,551.035,0.0,0.0,8.655,2.459,-3.2439999999999998,155.31,155.31,1.49,0.0,0.0,137.471,235.342,262.0,1.69,1.66,217.84400000000002,0.0,0.0,469.417,247.049,0.0,0.0,15.852,2.628,2.628,832.605,0.0,-8.597999999999999,283.183,-58.455,1598.464,1327.24,0.0,4.35,155.053,-15.174000000000001,0.0,13.42,1327.24,0.0,0.0,2.583,,,,,16.655,16.655,,15.564,-33.314,47.93899999999999,81.253,0.0,7.638999999999999,47.773999999999994,0.0,62.708,0.0,520.68,148.688,3.8139999999999996,1336.464,601.9630000000001,194474330.0,0.33,0.33,37.65,37.93,24.76,1.0,4.0,Y,Y
3,1266,2010,ALCO,DS,1.0,1.0,USD,1.0,5,0.0,37.441,0.0,13.492,3.9619999999999997,0.0,188.817,14.2617,9.31,8.203,8.203,105.23700000000001,105.23700000000001,10.925999999999998,-7.867999999999999,-0.626,-0.623,62.648,7.374,7.386,7.379,7.374,7.379,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.281,3.279,0.0,-0.623,1.281,130.861,29.026999999999997,136.329,72.179,73.433,44.433,0.0,0.0,7.221,61.562,0.0,0.0,0.0,0.0,0.725,0.725,3.465,10.686,0.134,-0.08,-0.08,0.0,,-0.5489999999999999,0.0,,,-1.202,-8.312000000000001,1.6019999999999999,1.6019999999999999,0.0,17.144000000000002,177.416,0.0,0.0,4.641,0.136,18.601,-6.669,7.912000000000001,0.0,188.817,83.58,0.0,0.0,0.442,0.0,-0.001,-0.623,-0.623,1.6880000000000002,1.6880000000000002,0.0,7.1129999999999995,3.465,10.686,0.19,0.19,-1.824,0.0,0.0,186.535,124.973,0.0,0.0,0.628,0.0,0.0,88.72,0.0,0.001,5.461,0.0,79.792,105.23700000000001,0.0,6.808,-0.9359999999999999,-3.1,-0.6629999999999999,0.0,105.23700000000001,0.172,0.0,0.0,0.0,9.158999999999999,0.0,,-0.259,-0.258,0.0,0.0,9.046,10.109,1.063,0.0,0.0,0.0,1.072,-1.2009999999999998,0.0,29.529,2.843,3.877,69.10600000000001,6.457999999999999,3736846.0,0.1375,0.1375,23.24,30.2,20.17,1.0,1.0,Y,Y
5,1266,2011,ALCO,DS,1.0,1.0,USD,1.0,5,0.0,29.180999999999997,0.0,11.595999999999998,0.38,0.0,180.035,15.0704,9.212,12.265,12.265,110.662,110.662,1.3359999999999999,-9.59,7.097,7.097,67.832,7.3629999999999995,7.377999999999999,7.343,7.3629999999999995,7.377000000000001,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.279,3.267,0.0,7.097,3.279,15.083,13.991,31.385,53.879,57.146,43.167,0.0,0.0,7.327000000000001,65.104,0.0,0.0,0.0,0.0,0.882,0.882,15.237,22.564,0.134,0.96,0.96,0.0,,-0.068,0.0,,,0.0,-18.244,2.278,2.278,0.0,30.76,164.541,0.0,0.0,1.925,-3.772,22.373,-8.093,11.827,0.0,180.035,69.373,0.0,0.0,0.6679999999999999,0.0,0.0,7.097,7.097,1.122,1.122,0.0,16.747,15.237,22.564,1.11,1.11,12.527000000000001,0.0,0.0,193.88400000000001,128.78,0.0,0.0,1.205,0.0,0.0,94.935,0.0,0.0,3.627,0.0,98.59200000000001,110.662,0.0,2.983,8.102,-1.685,-0.06,0.0,110.662,0.862,0.0,0.0,0.0,8.672,0.0,0.18899999999999997,0.563,0.563,0.0,0.0,8.482999999999999,25.674,17.191,0.0,0.0,4.495,0.6990000000000001,5.43,0.0,17.354,3.657,2.147,76.028,8.196,2515106.0,0.1,0.1,19.64,28.56,19.51,1.0,1.0,Y,Y
7,1266,2012,ALCO,DS,1.0,1.0,USD,1.0,5,0.0,51.467,,4.89,-0.046,0.0,185.083,17.3438,9.052999999999999,15.921,15.921,127.546,127.303,13.328,11.992,18.489,18.489,86.52600000000001,7.355,7.377000000000001,7.354,7.355,7.377000000000001,1.0,0.0,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.267,2.633,0.0,18.489,3.267,127.319,0.0,144.577,36.633,36.633,36.633,0.0,0.0,8.429,65.22,0.0,0.0,0.0,0.0,1.765,1.765,23.741999999999997,32.171,0.157,2.51,2.51,0.0,0.059000000000000004,-0.059000000000000004,0.0,,,0.0,-19.32,2.465,2.465,0.0,40.661,164.179,0.243,0.243,1.685,-4.917,27.29,7.678,17.148,0.0,185.083,57.537,0.0,0.0,0.609,0.0,0.0,18.489,18.489,9.354,9.354,0.0,23.634,23.741999999999997,32.171,2.68,2.68,29.462,0.0,0.0,188.054,122.834,0.0,0.0,0.298,0.0,0.0,111.65899999999999,0.0,0.0,4.398,0.0,127.18700000000001,127.546,0.0,5.504,12.56,-1.9180000000000001,-9.088,0.0,127.546,0.5429999999999999,0.0,0.0,0.0,2.168,,0.0,6.005,5.979,0.0,0.0,2.479,23.976,21.497,0.0,0.484,5.142,1.327,10.972999999999999,0.0,34.319,4.173,1.716,95.016,8.49,3468122.0,0.24,0.28,31.23,32.8,17.85,1.0,1.0,Y,Y
8,1266,2013,ALCO,DS,1.0,1.0,USD,1.0,5,0.0,59.795,,2.6289999999999996,2.127,0.0,198.84,19.5422,9.496,18.924,18.924,142.736,142.477,24.583000000000002,11.255,19.646,19.646,70.312,7.357,7.377000000000001,7.303999999999999,7.313,7.377000000000001,1.0,0.0,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,19.646,2.0,5.6610000000000005,0.0,9.561,34.0,34.0,34.0,0.0,0.0,9.675,71.857,0.0,0.0,0.0,0.0,2.6260000000000003,2.6260000000000003,13.751,23.426,0.154,2.67,2.69,0.0,0.6579999999999999,-0.6579999999999999,0.0,,,0.0,-8.842,1.538,1.538,0.0,31.349,176.736,0.259,0.259,1.048,-2.113,29.403000000000002,6.671,11.491,0.0,198.84,56.104,0.0,0.0,0.6,0.0,0.0,19.646,19.646,21.076,21.076,0.0,13.425999999999998,13.751,23.426,2.85,2.84,31.675,0.0,0.0,202.928,131.071,0.0,0.0,2.8939999999999997,0.0,0.0,128.679,0.0,0.0,4.266,0.0,101.661,142.736,0.0,1.214,6.452000000000001,-1.882,-20.929000000000002,0.0,142.736,2.8160000000000003,0.0,0.0,6.584,0.0,0.0,0.0,9.062000000000001,9.062999999999999,6.584,0.0,-6.584,15.718,22.302,0.0,1.171,0.9520000000000001,0.0,12.029000000000002,0.0,48.303999999999995,3.988,1.27,78.235,7.922999999999999,3375258.0,0.28,0.32,41.17,47.6,30.2701,1.0,1.0,Y,Y
11,1408,2010,BEAM,DS,1.0,1.0,USD,1.0,5,-172.0,4343.0,32.2,197.0,85.9,0.0,12675.3,36.9827,820.2,223.0,223.0,5666.2,-985.1,864.7,447.5,535.8,496.0,3474.0,154.3,234.878,153.21200000000002,152.4,734.0,3.125,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,740.9,590.6,415.1,0.4,487.6,643.5,0.0,75.7,166.5,3637.4,0.0,2820.8,0.0,0.0,242.4,1741.6,0.0,0.0,0.0,0.0,115.8,116.2,812.2,1054.6,24.6,3.16,3.2,0.0,-0.7,,-1.6,104.6,0.0,-11.7,-248.5,14.8,14.8,3602.4,3096.5,9325.4,6651.3,3048.9,208.7,-119.0,2088.3,-73.0,2106.9,,12675.3,6987.3,16.9,8.4,55.5,19.5,0.0,487.6,487.2,4.8,4.8,52.9,770.6,812.2,1054.6,2.87,2.83,587.6,6.175,0.161,3173.7,1432.1,-2.99,0.0,0.0,4.9,4.9,7327.3,0.0,-257.1,947.4,85.1,6570.5,5671.1,0.0,0.0,493.44,-15.6,4.7,40.6,5688.0,3215.3,0.0,4.0,662.2,46.1,128.4,8.3,54.7,73.9,662.2,70.8,-496.0,565.2,1061.2,0.0,121.1,119.5,0.0,91.6,571.0,2236.1,,213.8,5515.9,2041.9,326002347.0,0.76,0.76,60.25,63.51,37.05,1.0,1.0,Y,Y
13,1408,2011,BEAM,DS,1.0,1.0,USD,1.0,5,-304.1,2434.4,16.3,82.6,-1.7,45.6,7491.8,26.2603,882.4,218.5,218.5,4095.0,-107.9,218.3,-646.4,671.5,911.4,861.2,157.8,234.877,155.939,154.6,734.0,3.125,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,373.1,0.0,464.2,0.4,133.3,28.4,500.0,38.4,2440.9,1902.1,0.0,1490.6,778.1,780.0,107.2,526.2,0.0,0.0,0.0,0.0,117.4,117.8,600.9,708.1,3.2,0.85,5.89,0.0,3.9,,-16.6,84.0,0.0,-15.9,-2002.5,222.4,222.4,2103.9,1403.6,6001.8,4202.9,2099.0,210.8,-64.8,1551.5,918.2,758.7,0.0,7491.8,3392.1,0.0,0.0,13.3,13.4,0.0,911.4,911.0,14.4,11.5,28.4,454.5,600.9,708.1,2.07,2.03,169.3,-9.685,0.154,1255.9,729.7,-5.525,0.0,0.0,4.7,4.7,5588.5,0.0,-108.6,385.8,-195.5,2264.8,4099.7,0.0,22.5,140.49,-328.6,-686.6,102.3,4099.7,3109.9,0.0,4.2,375.1,32.0,77.9,7.3,-50.6,9.5,375.1,85.1,-272.5,368.8,641.3,0.0,123.2,125.0,0.0,36.0,560.6,1675.7,,117.4,1556.7,695.5,241260068.0,0.76,0.76,51.23,65.48,42.3,1.0,4.0,Y,Y
14,1408,2012,BEAM,DS,1.0,1.0,USD,1.0,5,-186.0,2863.4,17.2,55.0,-89.5,685.1,8636.9,28.804000000000002,873.7,136.5,136.5,4612.1,-267.0,365.7,147.4,500.5,382.4,924.8,160.8,234.877,160.12,158.3,734.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.1,469.3,326.4,0.0,397.9,480.1,605.8,25.4,10.3,2024.9,0.0,1626.4,-15.8,0.0,119.1,565.9,0.0,0.0,0.0,0.0,129.8,130.1,631.9,751.0,3.4,2.48,2.41,0.0,9.3,,7.1,41.4,0.0,-2.6,564.2,35.9,35.9,2571.0,1541.1,6637.0,4879.1,2308.1,117.6,-96.5,1736.9,-802.1,1208.6,0.0,8636.9,4024.8,0.0,0.0,15.5,18.7,0.0,382.4,382.1,17.1,15.0,10.8,378.2,631.9,751.0,2.45,2.41,502.0,11.765,0.0,1353.8,787.9,-2.405,0.0,,0.0,0.0,5953.7,0.0,-114.9,455.7,-71.1,2465.9,4612.1,0.0,2.0,407.26,-38.0,0.0,112.7,4612.1,2949.3,0.0,16.3,453.0,25.4,82.0,1.0,69.7,69.7,453.0,72.7,-346.6,308.0,654.6,0.0,119.7,96.4,0.0,103.8,604.2,1654.8,,109.0,1714.9,790.1,208057651.0,0.82,0.82,61.09,64.0,49.74,1.0,1.0,Y,Y
17,1408,2013,BEAM,DS,1.0,1.0,USD,1.0,8,-146.8,2890.1,17.5,39.4,-134.6,3.0,8584.7,31.0086,946.2,128.5,128.5,5074.1,291.9,277.2,-88.5,401.7,362.5,956.9,163.4,234.877,163.635,162.1,734.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.9,0.0,13.8,0.0,365.5,12.8,496.0,9.8,1012.7,2024.5,0.0,1661.8,-3.0,0.0,126.5,592.9,78.7,0.0,0.0,0.0,145.7,145.7,667.6,794.1,3.3,2.24,2.24,0.0,6.4,,-1.2,36.8,0.0,-1.0,-468.8,127.5,127.5,2557.8,1590.4,7098.6,4782.2,2224.4,118.6,-87.4,1843.3,-42.3,706.6,0.0,8584.7,3510.6,0.0,0.0,15.4,25.1,0.0,362.5,362.5,8.7,7.2,12.8,423.8,667.6,794.1,2.8,2.77,477.4,3.445,0.0,1408.6,815.7,-0.975,0.0,,0.0,0.0,6205.8,-2.9,-81.7,427.0,-65.1,2547.3,5074.1,0.0,1.5,384.285,-107.3,-24.0,176.9,5074.1,2811.9,0.0,13.6,526.7,17.1,102.8,0.0,47.2,47.2,526.7,56.1,-406.8,237.4,644.2,0.0,71.5,94.4,0.0,111.9,601.1,2183.5,,91.6,1753.2,796.3,185976838.0,0.9,0.9,68.06,70.63,59.42,1.0,1.0,Y,Y
19,1429,2010,2388B,DS,1.0,1.0,USD,1.0,5,-85.986,282.186,0.0,11.777999999999999,79.206,0.0,787.678,,,70.476,70.476,241.62599999999998,241.62599999999998,0.128,0.001,,,857.3969999999999,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.78,0.375,5.765,,,5.375,0.0,71.293,20.789,140.69799999999998,141.07299999999998,0.0,0.0,0.0,54.6,929.7710000000001,0.0,0.0,0.0,0.0,17.352999999999998,17.352999999999998,52.995,107.595,1.3769999999999998,,,0.0,-0.521,0.521,0.0,18.689,0.0,-10.673,-89.804,-0.21,-0.21,0.0,346.5,471.30800000000005,0.0,0.0,9.1,-22.805999999999997,204.11700000000002,-69.556,228.12900000000002,0.0,787.678,457.06800000000004,50.708999999999996,6.432,1.598,6.142,0.0,34.957,34.957,0.315,0.165,5.0,159.361,52.995,107.595,,,43.698,4.848,0.499,1413.62,483.849,-0.447,0.0,0.0,38.275,38.275,,,-4.984,61.883,0.0,1203.897,279.901,,1.4869999999999999,39.358000000000004,0.0,0.535,0.0,330.61,0.0,0.0,0.0,6.652,0.0,0.0,0.0,0.0,1.213,6.652,,-6.652,8.299,14.950999999999999,0.0,0.0,0.17,0.0,2.309,0.0,54.056999999999995,0.0,9.612,1096.302,238.905,,0.0,0.0,,,,1.0,4.0,Y,Y
